Sitting Day,Senate Link,Reps Link
13/12/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-12-13/toc_sgml/senate 1996-12-13.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-12-13/toc_sgml/reps 1996-12-13.sgm
12/12/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-12-12/toc_sgml/senate 1996-12-12.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-12-12/toc_sgml/reps 1996-12-12.sgm
11/12/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-12-11/toc_sgml/senate 1996-12-11.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-12-11/toc_sgml/reps 1996-12-11.sgm
10/12/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-12-10/toc_sgml/senate 1996-12-10.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-12-10/toc_sgml/reps 1996-12-10.sgm
9/12/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-12-09/toc_sgml/senate 1996-12-09.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-12-09/toc_sgml/reps 1996-12-09.sgm
5/12/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-12-05/toc_sgml/senate 1996-12-05.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-12-05/toc_sgml/reps 1996-12-05.sgm
4/12/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-12-04/toc_sgml/senate 1996-12-04.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-12-04/toc_sgml/reps 1996-12-04.sgm
3/12/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-12-03/toc_sgml/senate 1996-12-03.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-12-03/toc_sgml/reps 1996-12-03.sgm
2/12/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-12-02/toc_sgml/senate 1996-12-02.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-12-02/toc_sgml/reps 1996-12-02.sgm
29/11/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-11-29/toc_sgml/senate 1996-11-29.sgm,
28/11/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-11-28/toc_sgml/senate 1996-11-28.sgm,
27/11/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-11-27/toc_sgml/senate 1996-11-27.sgm,
26/11/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-11-26/toc_sgml/senate 1996-11-26.sgm,
25/11/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-11-25/toc_sgml/senate 1996-11-25.sgm,
21/11/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-11-21/toc_sgml/senate 1996-11-21.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-11-21/toc_sgml/reps 1996-11-21.sgm
20/11/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-11-20/toc_sgml/senate 1996-11-20.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-11-20/toc_sgml/reps 1996-11-20.sgm
19/11/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-11-19/toc_sgml/senate 1996-11-19.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-11-19/toc_sgml/reps 1996-11-19.sgm
